vin,ign_on_time,trip_match_key,t,latitude,longitude,ems11_n,ems11_vs,ems12_brake_act,tcu12_cur_gr,ems11_tqi_acor,mdps_sas11_fs_sas_angle,sas_sas11_fs_sas_angle,sas11_fs_sas_speed,esp12_lat_accel,esp12_long_accel,ems12_pv_av_can
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,35,42.18141111,-71.86373888888889,1238.0,0.0,1.0,0.0,9.765625,29.5,29.5,0.0,0.22000000000000064,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,36,42.18141111,-71.86373888888889,1238.0,0.0,1.0,0.0,9.765625,29.5,29.5,0.0,0.25,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,37,42.18141111,-71.86373888888889,1211.0,0.0,1.0,0.0,10.15625,29.5,29.5,0.0,0.25,0.02999999999999936,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,38,42.18141111,-71.86373888888889,1236.0,0.0,1.0,0.0,9.765625,29.5,29.5,0.0,0.22000000000000064,0.02999999999999936,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,39,42.18141111,-71.86373888888889,1231.0,0.0,1.0,0.0,9.765625,29.5,29.5,0.0,0.25,0.02999999999999936,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,40,42.18141111,-71.86373888888889,1230.0,0.0,1.0,0.0,9.765625,29.5,29.5,0.0,0.25,-0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,41,42.18141111,-71.86373888888889,1233.0,0.0,1.0,0.0,9.765625,29.5,29.5,0.0,0.23000000000000043,0.049999999999998934,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,42,42.18141111,-71.86373888888889,1219.0,0.0,1.0,0.0,9.765625,29.5,29.5,0.0,0.2599999999999998,0.02999999999999936,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,43,42.18141111,-71.86373888888889,1228.0,0.0,1.0,0.0,9.765625,29.5,29.5,0.0,0.2599999999999998,0.0,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,44,42.18141111,-71.86373888888889,1216.0,0.0,1.0,0.0,10.15625,29.5,29.5,0.0,0.25,-0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,45,42.18141111,-71.86373888888889,1222.0,0.0,1.0,0.0,9.765625,29.5,29.5,0.0,0.29999999999999893,0.049999999999998934,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,46,42.18141111,-71.86373888888889,1231.0,0.0,1.0,0.0,9.765625,29.5,29.5,0.0,0.25,-0.009999999999999787,0.0
